Eval#,A_Cell_D,B_Barrier_Type,C_Barrier_Thx,F_ThermalResin_Thx,G_CoolantLPM,TP_NoTP,MaxT_TB_Center,MaxT_TB_Top,MaxT_TB_Btm,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,Unnamed: 16,CellD_x_Resin,discrete_combo_id,oof_predicted_label
17,10.40836201,ETI,1.337663415,1.919956357,26.41432133,1,135.3757482,125.8433126,132.050889,528.5893498,-0.497831883,0.110838253,1427.974376,238.800001,92.2,,19.983600807056796,combo_001,0
2,11.31914506,ETI,1.430062758,2.569697098,29.77820855,0,144.9011342,131.1504038,139.1194154,207.4548855,-0.506184972,0.108950872,1374.462444,262.0,98.0,,29.086774212523036,combo_001,1
6,14.68820074,ETI,1.518294264,2.164302178,24.20033837,1,131.2252443,121.8200243,130.4238619,734.3696195,-0.173600938,0.112318988,1344.259275,243.400001,107.9,,31.789704852483208,combo_001,0
8,14.19881537,ETI,1.492676082,2.675001282,17.91194254,0,143.6338613,130.8220526,139.7644858,209.503688,-0.491921025,0.111431977,1412.334561,257.0,99.2,,37.98184931763131,combo_001,1
12,12.02228399,ETI,1.397607392,2.665652724,0.005394686,1,138.6027119,127.7674459,135.3397464,523.9753341,-0.498537543,0.113315148,1484.407797,261.000001,88.2,,32.04723406664509,combo_001,0
21,13.97097764,ETI,1.530665482,2.968685433,20.47769669,1,130.468334,119.7720032,130.1744133,662.6076802,-0.17124182,0.1093184,1366.136638,235.900001,100.4,,41.47543780463672,combo_001,0
5,13.59904566,ETI,1.439120501,2.144124161,16.08976687,0,141.5120608,130.4069544,136.4689964,209.4360071,-0.167318121,0.111999027,1454.595522,246.2,94.2,,29.158042366148194,combo_001,1
6,14.82369728,ETI,1.510814526,2.509687828,12.38462769,1,132.3835548,123.7393366,131.6253746,585.038503,-0.172118906,0.114371794,1395.254323,253.700002,101.2,,37.20285262957271,combo_001,0
9,12.04343753,ETI,1.440913691,2.351676031,29.64020659,0,143.4277691,130.7030476,137.4243402,208.3554332,-0.5017624,0.11044472,1383.200797,261.1,98.9,,28.322263370146842,combo_001,1
10,12.07148759,ETI,1.409119735,2.160626475,24.90676261,1,132.7922682,122.9637784,130.7834156,794.0116791,-0.490468894,0.109039387,1416.982663,228.000002,96.7,,26.081975679587945,combo_001,0
12,14.43627239,ETI,1.483941269,2.562269819,7.901570569,1,131.2037008,121.0825472,130.6281358,591.5550231,-0.174597638,0.108344797,1424.223448,228.000002,98.9,,36.98962504375999,combo_001,0
13,12.54950075,ETI,1.423234972,2.930050692,11.69084913,0,146.788241,131.458917,141.4098173,209.4337448,-0.50310342,0.108442596,1468.908409,275.9,91.1,,36.77067335679202,combo_001,1
5,14.480893,ETI,1.502238233,1.552121316,28.85008063,0,138.4756923,129.9995467,133.0341174,208.2679172,-0.489924693,0.113707599,1347.30936,263.8,107.0,,22.47610270001519,combo_001,1
6,13.75748153,ETI,1.471154138,2.845591912,13.23373499,0,140.3773,129.8812,137.3989,209.6425,-0.1670413,0.1106321,1426.51,255.3,96.9,,39.148178171257385,combo_001,1
12,12.82547279,ETI,1.403930153,1.771901028,21.79385393,1,129.8927626,118.4536396,127.5961731,701.5778312,-0.176842739,0.108942795,1432.398837,208.400002,98.0,,22.725468421187028,combo_001,0
13,13.58658163,ETI,1.417063464,1.569340978,19.4346426,0,140.5940209,130.3892819,133.687637,209.3111806,-0.165819011,0.11362745,1469.666777,237.8,92.6,,21.321979302901035,combo_001,1
14,13.9468991,ETI,1.487587189,2.371659315,22.438697,1,130.54751,120.1227795,129.8865368,837.0450268,-0.490674369,0.109277767,1365.693238,235.400002,104.8,,33.077293165880114,combo_001,0
16,12.21914986,ETI,1.405704623,2.986284283,7.503697405,0,144.7404092,130.6759449,140.5242936,209.8088537,-0.507306428,0.109325478,1479.284183,274.1,89.7,,36.48985517853965,combo_001,1
6,15.05088616,ETI,1.492569367,1.735675488,18.09364645,0,136.4917648,128.8600513,132.8517813,209.8309219,-0.167798404,0.114811974,1399.868338,255.8,100.2,,26.123454180590446,combo_001,1
7,13.0526929,ETI,1.391827917,1.401394634,18.61659428,0,138.5895724,129.7471614,131.7629655,208.4784811,-0.502313274,0.114112141,1486.439089,233.4,89.8,,18.2919737893099,combo_001,1
13,12.2335892,ETI,1.399424763,2.840724553,8.121104447,1,136.7559198,126.8483108,134.5401165,747.4420059,-0.498621433,0.112320353,1484.241105,260.700002,89.3,,34.75225721175563,combo_001,0
