cell_d_bin_rank,discrete_combo_id,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,p_tp,p_notp,tmax_pred_given_notp,tmax_std_given_notp,clf_uncertainty_raw,nn_distance_raw,feasibility_margin,robust_tmax_lower_95,is_feasible,objective_score,cell_d_bin_label,cell_d_bin_weight,cell_d_bin_trial_quota,trust_feasibility_score,trust_tmax_unc_score,trust_clf_unc_score,trust_support_score,trust_score,trust_level
10,combo_005,12.804050144371635,0.6452567887437602,2.654290571068881,1.9069848499126434,Si3,PU,0.47734282617597756,0.5226571738240224,402.3043943645542,1.3265122467096955,0.05516895771758171,0.8811133544016125,0.022657173824022436,399.7044303610032,True,402.3043943645542,12-14,0.2191780821917808,17,0.5217328497064726,0.8375990547177533,0.6726981040085454,0.6565558431227098,0.666909211082707,medium
1,combo_002,15.99812138448888,0.44215603961645034,2.9684035125168102,1.9429044377446791,Si1,Si1,0.43192859680300444,0.5680714031969956,437.24777472944163,2.3002003648751015,0.09723642719811866,1.3869097037577351,0.06807140319699556,432.73938201428643,True,437.24777472944163,14-16,0.2602739726027397,21,0.5673402312096695,0.640436579836552,0.41732608272884075,0.42415301825473684,0.5377882241583286,medium
2,combo_002,15.976653034885976,0.5105795786499169,2.9836886488375662,2.0384880652627952,Si1,Si1,0.34108381500487894,0.6589161849951211,434.32411836754136,2.291014300071641,0.09065444088975672,1.3908011685340649,0.15891618499512106,429.8337303394009,True,434.32411836754136,14-16,0.2602739726027397,21,0.6585713866921288,0.6422966695688596,0.45728225714003035,0.4223649717256456,0.5780001833997558,medium
3,combo_002,15.79772865684195,0.5076172054505408,2.8782618222144976,1.8465987519655511,Si1,Si1,0.40649962720505073,0.5935003727949493,432.94300218311014,1.9452853601936186,0.09981545888105346,1.241157731164577,0.09350037279494927,429.1302428771306,True,432.94300218311014,14-16,0.2602739726027397,21,0.5928773532460782,0.7123034532121055,0.4016699821373808,0.49112299580370455,0.5752005553977909,medium
4,combo_006,15.167079463149035,0.9507132446095008,1.5143001445370525,2.1647322281233228,Si3,Si3,0.48129034379349633,0.5187096562065037,431.74445427512075,2.3570786298190867,0.08543215217733922,1.666377734520338,0.018709656206503666,427.12458016067535,True,431.74445427512075,14-16,0.2602739726027397,21,0.5177685428260412,0.6289192784809245,0.48898434049955497,0.29574331365287776,0.5120531386812345,medium
5,combo_011,15.975933487663978,1.149045715944702,2.085909733189523,2.3723989016239146,A2,PU,0.29411923739968415,0.7058807626003158,429.55208506306434,1.7497759345171198,0.08305563539779236,1.6310555704160639,0.20588076260031585,426.1225242314108,True,429.55208506306434,14-16,0.2602739726027397,21,0.7057357102433574,0.7518922306756841,0.5034110674002259,0.31197310797372135,0.6200533474639837,medium
6,combo_006,15.210303241322615,1.0133934940718579,1.5492021127143072,2.2019497903301763,Si3,Si3,0.4017612039558003,0.5982387960441997,429.0492356275578,2.273919257519239,0.0860501115526622,1.7208668740283495,0.09823879604419972,424.5923538828201,True,429.0492356275578,14-16,0.2602739726027397,21,0.5976359295741571,0.6457582511933551,0.4852329968439071,0.2707066957286728,0.5405526544370438,medium
7,combo_007,15.548886179682945,0.8368376228885068,1.6317180041048176,1.5781773383249318,A1,PU,0.48787803906624205,0.512121960933758,427.2934718411494,1.8090466317657898,0.1315133299103427,1.4153373884072038,0.012121960933757947,423.74774044288847,True,427.2934718411494,14-16,0.2602739726027397,21,0.5111528293001453,0.7398904847988828,0.20924696513708052,0.41109109278729783,0.5043836926402264,medium
8,combo_012,15.482557434906592,0.9523880436273016,2.6628809446263633,2.051610341947869,A2,Si1,0.38184527112272804,0.618154728877272,426.7035327423831,1.5607388859426352,0.1369249662569754,0.796246301184169,0.11815472887727196,423.6444845259355,True,426.7035327423831,14-16,0.2602739726027397,21,0.6176365672432513,0.7901704140547811,0.17639544044744604,0.6955504759053746,0.5928355822268677,medium
9,combo_012,15.40775996451799,0.9621062771465214,2.6704395255603903,2.0842699997365175,A2,Si1,0.35717496790636005,0.64282503209364,425.46165497186297,1.5307046384562972,0.13337891721092673,0.8284207035750419,0.14282503209363995,422.46147388048865,True,425.46165497186297,14-16,0.2602739726027397,21,0.6424117961995316,0.7962520601744423,0.19792185322265188,0.6807670121385909,0.6054191691874877,medium
10,combo_012,15.41174046067852,0.989139513274351,2.68705359830315,2.4624608706286732,A2,Si1,0.2883089688682503,0.7116910311317497,425.2611761368133,1.8669745293706839,0.11166117966266767,1.2395284951520866,0.2116910311317497,421.60190605924674,True,425.2611761368133,14-16,0.2602739726027397,21,0.711570690539353,0.728160642929224,0.3297601264491178,0.49187159561499494,0.6072306991996136,medium
