TP_NoTP,actual_label,oof_predicted_label,oof_is_error,oof_p_tp,oof_p_notp,is_boundary_band,ptp_distance_from_boundary,local_nn_dist,coverage_cell_key,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,discrete_combo_id,Eval#,MaxT_TB,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,Time_TP,Unnamed: 16,CellD_x_Resin,Barrier_x_Outer,oof_tmax_pred
0,0,0,False,0.04289222735246767,0.9571077726475323,False,0.45710777264753233,0.2031626158773958,2_1_3_3,12.49516417,1.065685793,2.757777081,2.472249461,Si1,Si1,combo_002,1,360.9369783,265.2215126,0.001516146,0.055343849,1002.372406,236.3,91.2,,Initial,30.891162884389015,2.9389238554827104,361.11637389892246
0,0,0,False,0.01886911853955553,0.9811308814604445,False,0.48113088146044447,0.18132186308176074,2_2_1_3,13.60289153,1.232379778,1.791011639,2.490497408,Si1,Si1,combo_002,2,375.3898932,269.0235729,-0.000330922,0.055216547,1067.234939,242.3,96.8,,,33.87796609677016,2.207206526066236,374.32763603779745
0,0,0,False,0.10114049668959524,0.8988595033104048,False,0.39885950331040476,0.05186046386953814,1_1_1_0,11.54301664,0.832240359,1.929074394,0.876228667,Si1,Si1,combo_002,3,364.1952641,284.15683,0.001397127,0.055413117,1021.444996,198.9,86.4,,,10.114322083626018,1.6054535662002674,363.8215368823454
0,0,0,False,0.10708393346021694,0.8929160665397831,False,0.39291606653978306,0.05312600642236574,1_0_3_1,11.95834526,0.630832092,2.859924113,1.407055024,Si1,Si1,combo_002,4,373.994549,282.3659108,-0.001449043,0.055281819,1054.14863,204.9,87.8,,,16.826049776809587,1.8041319111650345,374.8546062769335
1,1,1,False,0.9697307011689418,0.030269298831058222,False,0.4697307011689418,0.12357864443248757,1_0_1_1,10.99971804,0.653623945,1.885812382,1.498664515,Si1,Si1,combo_002,5,374.0934209,885.3445684,0.008772819,0.040142293,1023.010462,157.000002,83.9,,,16.48488710155335,1.232612128652687,373.91329787516315
1,1,1,False,0.8946330318342461,0.10536696816575386,False,0.39463303183424614,0.09472424635076376,1_0_3_2,10.63940206,0.604259263,2.562426591,1.753868061,Si1,Si1,combo_002,6,366.6855404,1033.012354,0.000770505,0.043918785,999.6288671,169.000002,81.5,,,18.660107461171606,1.5483700033692624,365.5575789649283
0,0,0,False,0.040955278802130124,0.9590447211978699,False,0.4590447211978699,0.2407668173921722,2_1_3_0,13.24242994,0.960654719,2.82209995,0.945307316,Si1,Si1,combo_002,7,367.0156109,269.3187631,-0.001609554,0.055434325,1062.510637,221.1,94.5,,,12.51816590389944,2.7110636344571644,367.40146659819266
1,1,1,False,0.860224790420034,0.13977520957996603,False,0.36022479042003397,0.1318695706722453,3_0_2_3,15.50566817,0.378909762,2.158221953,2.322899401,Si1,Si1,combo_002,8,445.844427,580.0522311,-0.002649442,0.048825436,1402.800679,157.000002,97.2,,,36.01810730419776,0.8177713665544052,435.2879149167083
1,1,1,False,0.5837382252841508,0.41626177471584924,True,0.08373822528415076,0.2053027979670786,0_1_2_2,8.371000135,0.886820718,2.213556803,1.582883802,Si1,Si1,combo_002,9,323.8675239,584.127753,-0.000200125,0.045028125,833.6470488,159.000002,73.7,,,13.250320520231313,1.9630280333702443,323.2357174905701
1,1,1,False,0.8846482953092618,0.11535170469073819,False,0.3846482953092618,0.22366989636162282,3_0_1_0,15.29745022,0.516167697,1.627551111,0.730133722,Si1,Si1,combo_002,10,440.124365,950.5224787,0.007092439,0.045167636,1395.286527,157.000002,98.3,,,11.16918426623832,0.8400893087146614,432.51957960757437
